attack_family,synthetic_to_authentic_ratio,pipeline,metric,course_code,course_tier,seed_count,course_mean_delta
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP2511,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP2521,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP3121,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP3222,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP3411,strict_complete,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP4920,user_approved_exception,3,-0.6666666666666666
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP6443,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP6771,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP9020,strict_complete,3,-0.6666666666666666
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP9021,strict_complete,3,1.3333333333333333
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP9311,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP9321,strict_complete,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP9334,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP9444,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP9511,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,COMP9727,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,ECON1101,strict_complete,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,FINS3633,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,GSOE9820,user_approved_exception,3,0.0
topic_aligned_low_evidence,1.0,evidence_constrained,target_strength_0_to_3,MATH5836,strict_complete,3,-0.6666666666666666
